"","intpassRegBin","unemplyReg","smokeReg","ageGE65Reg","intMIGReg","AApopReg"
"81",1,5.3875,26.29375,15.6970553553971,786.2,43.5549144636622
"82",1,6.61,26.82,17.9956595257433,95.8,34.2910175671197
"83",0,4.45,26.8083333333333,14.7009610458992,817,28.7253071556168
"84",1,4.96153846153846,26.3076923076923,15.9056022751886,542,39.7333060073515
"85",1,4.05,25.43,14.7360521857064,697.2,17.5130964467005
"86",0,4.28461538461538,26.3076923076923,16.6271916953747,916.2,5.14429017954496
"87",0,4.53333333333333,24.1666666666667,10.6908670503832,3728.2,30.9736875185597
"88",1,4.15,23.35,12.1427051328093,2502.4,30.3706067333636
"89",1,4.43333333333333,28.2333333333333,16.0711204948941,455.2,4.59346702194291
"90",0,4.27,28.8,14.9315074573207,351,10.6241418088018
"91",0,4.8,30.4714285714286,20.5195895231425,198.8,2.6061465019919
"92",1,4.47333333333333,31.3066666666667,20.4993646314538,406.4,2.06110996400422
"93",0,4.71,30.69,18.9781413277252,297.6,3.52073988662638
"94",0,4.54285714285714,30.9857142857143,20.6622367700153,344.2,1.38907608087841
"95",0,4.325,30.05,17.3966499876316,200.4,6.70422124156532
"96",1,3.61666666666667,28.0916666666667,13.0103278680996,1521.8,9.96483330762904
"97",0,4.98888888888889,31.0111111111111,19.6272971797639,55.4,11.9592028267644
"98",0,4.95,30.2,18.522435954895,61.6,20.5798482492781
"99",1,3.25,23.05,16.4061442398809,46854,17.4571187972381
"100",1,4.64,27.9,25.0444522691309,11664,16.9462709512828
"101",1,4.81428571428571,28.0714285714286,31.9171977537885,7737.8,7.17920421801238
"102",1,5.04,27.4,18.6491574493689,13513.8,14.6910538762146
"103",1,4.45,28.6,24.0110633635001,3266.6,8.64118251129749
"104",1,4.225,26.025,15.1885888396469,23390.8,15.876467981099
"105",1,4.35714285714286,26.6142857142857,18.6977112581381,5262.8,18.2396681956194
"106",1,5.01875,28.5875,27.254069304417,2906.4,11.9260348798105
"107",1,4.67142857142857,27.8857142857143,16.3771728609502,1315.8,24.4875861505207
"108",1,4,26.375,16.762052261912,797.8,13.5537746523654
"109",1,3.4625,27.2125,17.8759033856137,247.8,25.5302276402538
"110",1,4.575,27.775,20.222396501488,143,20.0393260062403
"111",1,3.4125,25.925,14.5681257345641,822.6,37.9471376009074
"112",0,5.7,26.4,19.1921491658489,42.4,64.1855851043535
"113",1,3.5625,28.7,18.9992088967292,117.8,25.5461475879109
"114",0,3.21666666666667,28.2833333333333,17.1059583211036,311.6,9.53822698146723
"115",1,3.96666666666667,27.2333333333333,15.0238646599415,309.4,30.8679014660639
"116",0,3.63333333333333,29.3666666666667,19.7892073628596,155.8,8.27095014396121
"117",1,3.02857142857143,29.2714285714286,16.4156893523367,736.2,14.7260459098788
"118",1,5.41666666666667,29.0333333333333,16.1227969290679,498.6,19.8251069029962
"119",0,5.37777777777778,27.5111111111111,15.7769579300694,198.4,31.50586366093
"120",0,7.17777777777778,27.2666666666667,18.3623996378624,225.2,48.0649880831583
"121",0,5.57777777777778,27.0555555555556,17.4254029855827,29.4,38.3828500640393
"122",1,6.03,25.33,14.7604866550499,551,49.9810061745501
"123",1,5.61,26.85,16.5547524932603,219.6,40.914293684949
